Application mode,Course,Daytime/evening attendance,Mother's qualification,Displaced,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,Curricular units 1st sem (approved),Curricular units 2nd sem (approved),Unemployment rate,Inflation rate,GDP,Target
8,2,1,13,1,0,1,1,0,20,0,0,10.8,1.4,1.74,Dropout
6,11,1,1,1,0,0,1,0,19,6,6,13.9,-0.3,0.79,Graduate
1,5,1,22,1,0,0,1,0,19,0,0,10.8,1.4,1.74,Dropout
8,15,1,23,1,0,1,0,0,20,6,5,9.4,-0.8,-3.12,Graduate
12,3,0,22,0,0,1,0,0,45,5,6,13.9,-0.3,0.79,Graduate
12,17,0,22,0,1,1,1,0,50,5,5,16.2,0.3,-0.92,Graduate
1,12,1,13,1,0,1,0,1,18,7,8,15.5,2.8,-4.06,Graduate
9,11,1,22,1,0,0,1,0,22,0,0,15.5,2.8,-4.06,Dropout
1,10,1,1,0,0,1,0,1,21,6,6,16.2,0.3,-0.92,Graduate
1,10,1,1,1,1,0,0,0,18,5,2,8.9,1.4,3.51,Dropout
1,14,1,23,1,0,1,0,0,18,6,5,13.9,-0.3,0.79,Graduate
1,12,1,13,1,0,1,0,1,18,7,7,12.7,3.7,-1.7,Graduate
1,16,1,13,1,0,1,0,0,19,0,0,12.7,3.7,-1.7,Dropout
17,11,1,1,1,0,1,0,1,21,6,5,8.9,1.4,3.51,Graduate
1,6,1,23,1,0,1,0,1,18,4,5,10.8,1.4,1.74,Graduate
1,15,1,13,1,0,1,0,0,20,5,0,15.5,2.8,-4.06,Dropout
9,10,1,13,1,0,1,0,0,18,1,2,10.8,1.4,1.74,Enrolled
8,12,1,13,1,0,1,0,0,18,7,8,15.5,2.8,-4.06,Graduate
1,8,1,3,1,0,1,0,0,20,4,4,10.8,1.4,1.74,Graduate
1,16,1,13,1,0,1,0,0,18,6,6,16.2,0.3,-0.92,Enrolled
1,2,1,1,0,0,1,0,1,21,0,0,11.1,0.6,2.02,Graduate
9,13,1,1,1,0,1,0,0,20,7,8,12.7,3.7,-1.7,Enrolled
1,12,1,13,1,0,1,0,0,18,7,7,12.7,3.7,-1.7,Graduate
1,14,1,1,1,0,1,0,1,19,6,6,11.1,0.6,2.02,Graduate
1,12,1,13,0,0,1,0,0,19,6,7,11.1,0.6,2.02,Graduate
1,10,1,13,1,1,1,0,1,18,5,4,7.6,2.6,0.32,Enrolled
8,10,1,13,1,0,1,0,0,21,6,6,16.2,0.3,-0.92,Graduate
1,6,1,13,1,0,1,0,0,18,5,4,9.4,-0.8,-3.12,Enrolled
