Age at enrollment,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target_Dropout,Target_Enrolled,Target_Graduate
18,0,6,0,0,0.0,0,0,6,0,0,0.0,0,12.4,0.5,1.79,True,False,False
22,0,6,7,5,13.4,0,0,6,9,5,12.2,0,7.6,2.6,0.32,False,False,True
19,0,6,6,6,12.0,0,0,6,7,6,13.571428571428571,0,8.9,1.4,3.51,False,False,True
18,0,7,7,7,14.652857142857142,0,0,8,9,8,14.755555555555556,0,12.4,0.5,1.79,False,False,True
20,0,5,9,1,10.0,0,0,5,10,1,11.0,0,7.6,2.6,0.32,True,False,False
19,0,5,12,3,11.666666666666666,0,0,5,10,3,11.666666666666666,0,12.7,3.7,-1.7,False,True,False
19,0,7,8,6,11.658333333333331,0,0,8,11,6,12.416666666666666,0,12.4,0.5,1.79,False,False,True
18,0,6,6,1,11.0,0,0,6,0,0,0.0,0,8.9,1.4,3.51,True,False,False
20,0,5,12,1,10.0,2,0,5,5,0,0.0,0,12.7,3.7,-1.7,True,False,False
20,0,6,7,6,15.571428571428571,0,0,6,6,6,17.166666666666668,0,16.2,0.3,-0.92,False,False,True
26,0,7,12,6,12.166666666666666,0,0,8,8,8,11.675,0,13.9,-0.3,0.79,True,False,False
19,0,6,0,0,0.0,0,0,6,12,0,0.0,0,10.8,1.4,1.74,True,False,False
28,0,5,9,2,10.0,0,0,5,9,0,0.0,0,15.5,2.8,-4.06,True,False,False
21,0,5,12,3,11.333333333333334,0,0,5,10,1,13.0,0,15.5,2.8,-4.06,True,False,False
20,0,6,6,0,0.0,0,0,6,0,0,0.0,0,8.9,1.4,3.51,True,False,False
47,0,5,5,0,0.0,0,0,5,5,0,0.0,0,12.7,3.7,-1.7,True,False,False
21,0,0,0,0,0.0,0,0,0,0,0,0.0,0,16.2,0.3,-0.92,True,False,False
19,0,7,7,7,13.285714285714286,0,0,7,7,7,14.428571428571429,0,11.1,0.6,2.02,False,False,True
19,0,6,7,5,10.8,0,0,6,9,6,10.166666666666666,0,8.9,1.4,3.51,False,False,True
18,0,5,8,3,15.0,2,0,5,9,3,11.666666666666666,0,9.4,-0.8,-3.12,True,False,False
22,0,6,12,3,11.333333333333334,0,0,6,13,2,11.0,0,8.9,1.4,3.51,True,False,False
21,0,6,8,6,14.75,0,0,6,9,5,14.333333333333334,0,11.1,0.6,2.02,False,False,True
